molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,inactive,472.09400000000016,8.010300000000008,1.0,3.0,4.378410400123191
CHEMBL60718,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1,inactive,351.85500000000013,2.692520000000001,1.0,3.0,4.328410656604357
CHEMBL267014,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,inactive,326.83100000000013,3.5385000000000018,1.0,3.0,4.378410400123191
CHEMBL34241,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)/C=C/c4ccccc4)c2O)OC(C)(C)C=C3)c1O,inactive,516.5460000000002,5.396720000000009,5.0,8.0,4.378410400123191
CHEMBL1475137,CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(CC=O)c1O,inactive,402.4430000000001,3.3974000000000024,2.0,6.0,4.228410314583822
CHEMBL267777,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,inactive,477.58000000000015,5.483020000000005,0.0,5.0,4.578410878876242
CHEMBL275311,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,inactive,348.4860000000002,6.294300000000006,1.0,1.0,4.778411036167515
CHEMBL485832,N=C(N)Nc1ccc2[nH]c3c(c2c1)C[C@@]1(O)[C@H]2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,inactive,471.5610000000003,2.8779700000000012,6.0,5.0,4.278410296601197
CHEMBL422,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,inactive,407.50500000000017,4.945600000000005,0.0,4.0,4.278410296601197
CHEMBL1356775,COc1cc2c(cc1OC)-c1cc3nc4ccccc4nc3n1C(C)(C)C2,inactive,359.42900000000014,4.559900000000004,0.0,5.0,4.328410656604357
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,inactive,305.286,3.115200000000001,2.0,5.0,4.278410296601197
CHEMBL303579,O=C(N[C@@H](Cc1ccccc1)C(=O)CCl)OCc1ccccc1,inactive,331.799,3.3320000000000016,1.0,3.0,4.578410878876242
CHEMBL605003,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,inactive,371.4620000000002,2.6365000000000007,2.0,3.0,4.328410656604357
